date,Cheap ,Flights,Best airlines,Travel,luggage,luggage weight,suitcase,carry on,precheck,RV,train,bus,car,road
2017-06-01,17,62,0,3,94,6,3,68,2,1,94,82,49,12
2017-06-02,17,62,0,3,94,6,3,68,2,1,94,82,49,12
2017-06-03,17,62,0,3,94,6,3,68,2,1,94,82,49,12
2017-06-04,17,62,0,3,94,6,3,68,2,1,94,82,49,12
2017-06-05,17,62,0,3,94,6,3,68,2,1,94,82,49,12
2017-06-06,17,62,0,3,94,6,3,68,2,1,94,82,49,12
2017-06-07,17,62,0,3,94,6,3,68,2,1,94,82,49,12
2017-06-08,17,62,0,3,94,6,3,68,2,1,94,82,49,12
2017-06-09,17,62,0,3,94,6,3,68,2,1,94,82,49,12
2017-06-10,17,62,0,3,94,6,3,68,2,1,94,82,49,12
2017-06-11,17,62,0,3,94,6,3,68,2,1,94,82,49,12
2017-06-12,17,62,0,3,94,6,3,68,2,1,94,82,49,12
2017-06-13,17,62,0,3,94,6,3,68,2,1,94,82,49,12
2017-06-14,17,62,0,3,94,6,3,68,2,1,94,82,49,12
2017-06-15,17,62,0,3,94,6,3,68,2,1,94,82,49,12
2017-06-16,17,62,0,3,94,6,3,68,2,1,94,82,49,12
2017-06-17,17,62,0,3,94,6,3,68,2,1,94,82,49,12
2017-06-18,17,62,0,3,94,6,3,68,2,1,94,82,49,12
2017-06-19,17,62,0,3,94,6,3,68,2,1,94,82,49,12
2017-06-20,17,62,0,3,94,6,3,68,2,1,94,82,49,12
2017-06-21,17,62,0,3,94,6,3,68,2,1,94,82,49,12
2017-06-22,17,62,0,3,94,6,3,68,2,1,94,82,49,12
2017-06-23,17,62,0,3,94,6,3,68,2,1,94,82,49,12
2017-06-24,17,62,0,3,94,6,3,68,2,1,94,82,49,12
2017-06-25,17,62,0,3,94,6,3,68,2,1,94,82,49,12
2017-06-26,17,62,0,3,94,6,3,68,2,1,94,82,49,12
2017-06-27,17,62,0,3,94,6,3,68,2,1,94,82,49,12
2017-06-28,17,62,0,3,94,6,3,68,2,1,94,82,49,12
2017-06-29,17,62,0,3,94,6,3,68,2,1,94,82,49,12
2017-06-30,17,62,0,3,94,6,3,68,2,1,94,82,49,12
2017-07-01,17,61,0,3,98,6,3,69,2,1,95,79,54,13
2017-07-02,17,61,0,3,98,6,3,69,2,1,95,79,54,13
2017-07-03,17,61,0,3,98,6,3,69,2,1,95,79,54,13
2017-07-04,17,61,0,3,98,6,3,69,2,1,95,79,54,13
2017-07-05,17,61,0,3,98,6,3,69,2,1,95,79,54,13
2017-07-06,17,61,0,3,98,6,3,69,2,1,95,79,54,13
2017-07-07,17,61,0,3,98,6,3,69,2,1,95,79,54,13
2017-07-08,17,61,0,3,98,6,3,69,2,1,95,79,54,13
2017-07-09,17,61,0,3,98,6,3,69,2,1,95,79,54,13
2017-07-10,17,61,0,3,98,6,3,69,2,1,95,79,54,13
2017-07-11,17,61,0,3,98,6,3,69,2,1,95,79,54,13
2017-07-12,17,61,0,3,98,6,3,69,2,1,95,79,54,13
2017-07-13,17,61,0,3,98,6,3,69,2,1,95,79,54,13
2017-07-14,17,61,0,3,98,6,3,69,2,1,95,79,54,13
2017-07-15,17,61,0,3,98,6,3,69,2,1,95,79,54,13
2017-07-16,17,61,0,3,98,6,3,69,2,1,95,79,54,13
2017-07-17,17,61,0,3,98,6,3,69,2,1,95,79,54,13
2017-07-18,17,61,0,3,98,6,3,69,2,1,95,79,54,13
2017-07-19,17,61,0,3,98,6,3,69,2,1,95,79,54,13
2017-07-20,17,61,0,3,98,6,3,69,2,1,95,79,54,13
2017-07-21,17,61,0,3,98,6,3,69,2,1,95,79,54,13
2017-07-22,17,61,0,3,98,6,3,69,2,1,95,79,54,13
2017-07-23,17,61,0,3,98,6,3,69,2,1,95,79,54,13
2017-07-24,17,61,0,3,98,6,3,69,2,1,95,79,54,13
2017-07-25,17,61,0,3,98,6,3,69,2,1,95,79,54,13
2017-07-26,17,61,0,3,98,6,3,69,2,1,95,79,54,13
2017-07-27,17,61,0,3,98,6,3,69,2,1,95,79,54,13
2017-07-28,17,61,0,3,98,6,3,69,2,1,95,79,54,13
2017-07-29,17,61,0,3,98,6,3,69,2,1,95,79,54,13
2017-07-30,17,61,0,3,98,6,3,69,2,1,95,79,54,13
2017-07-31,17,61,0,3,98,6,3,69,2,1,95,79,54,13
2017-08-01,16,60,0,3,89,6,3,59,2,1,95,79,46,12
2017-08-02,16,60,0,3,89,6,3,59,2,1,95,79,46,12
2017-08-03,16,60,0,3,89,6,3,59,2,1,95,79,46,12
2017-08-04,16,60,0,3,89,6,3,59,2,1,95,79,46,12
2017-08-05,16,60,0,3,89,6,3,59,2,1,95,79,46,12
2017-08-06,16,60,0,3,89,6,3,59,2,1,95,79,46,12
2017-08-07,16,60,0,3,89,6,3,59,2,1,95,79,46,12
2017-08-08,16,60,0,3,89,6,3,59,2,1,95,79,46,12
2017-08-09,16,60,0,3,89,6,3,59,2,1,95,79,46,12
2017-08-10,16,60,0,3,89,6,3,59,2,1,95,79,46,12
2017-08-11,16,60,0,3,89,6,3,59,2,1,95,79,46,12
2017-08-12,16,60,0,3,89,6,3,59,2,1,95,79,46,12
2017-08-13,16,60,0,3,89,6,3,59,2,1,95,79,46,12
2017-08-14,16,60,0,3,89,6,3,59,2,1,95,79,46,12
2017-08-15,16,60,0,3,89,6,3,59,2,1,95,79,46,12
2017-08-16,16,60,0,3,89,6,3,59,2,1,95,79,46,12
2017-08-17,16,60,0,3,89,6,3,59,2,1,95,79,46,12
2017-08-18,16,60,0,3,89,6,3,59,2,1,95,79,46,12
2017-08-19,16,60,0,3,89,6,3,59,2,1,95,79,46,12
2017-08-20,16,60,0,3,89,6,3,59,2,1,95,79,46,12
2017-08-21,16,60,0,3,89,6,3,59,2,1,95,79,46,12
2017-08-22,16,60,0,3,89,6,3,59,2,1,95,79,46,12
2017-08-23,16,60,0,3,89,6,3,59,2,1,95,79,46,12
2017-08-24,16,60,0,3,89,6,3,59,2,1,95,79,46,12
2017-08-25,16,60,0,3,89,6,3,59,2,1,95,79,46,12
2017-08-26,16,60,0,3,89,6,3,59,2,1,95,79,46,12
2017-08-27,16,60,0,3,89,6,3,59,2,1,95,79,46,12
2017-08-28,16,60,0,3,89,6,3,59,2,1,95,79,46,12
2017-08-29,16,60,0,3,89,6,3,59,2,1,95,79,46,12
2017-08-30,16,60,0,3,89,6,3,59,2,1,95,79,46,12
2017-08-31,16,60,0,3,89,6,3,59,2,1,95,79,46,12
2017-09-01,14,61,0,3,84,5,2,50,2,1,92,80,43,11
2017-09-02,14,61,0,3,84,5,2,50,2,1,92,80,43,11
2017-09-03,14,61,0,3,84,5,2,50,2,1,92,80,43,11
2017-09-04,14,61,0,3,84,5,2,50,2,1,92,80,43,11
2017-09-05,14,61,0,3,84,5,2,50,2,1,92,80,43,11
2017-09-06,14,61,0,3,84,5,2,50,2,1,92,80,43,11
2017-09-07,14,61,0,3,84,5,2,50,2,1,92,80,43,11
2017-09-08,14,61,0,3,84,5,2,50,2,1,92,80,43,11
2017-09-09,14,61,0,3,84,5,2,50,2,1,92,80,43,11
2017-09-10,14,61,0,3,84,5,2,50,2,1,92,80,43,11
2017-09-11,14,61,0,3,84,5,2,50,2,1,92,80,43,11
2017-09-12,14,61,0,3,84,5,2,50,2,1,92,80,43,11
2017-09-13,14,61,0,3,84,5,2,50,2,1,92,80,43,11
2017-09-14,14,61,0,3,84,5,2,50,2,1,92,80,43,11
2017-09-15,14,61,0,3,84,5,2,50,2,1,92,80,43,11
2017-09-16,14,61,0,3,84,5,2,50,2,1,92,80,43,11
2017-09-17,14,61,0,3,84,5,2,50,2,1,92,80,43,11
2017-09-18,14,61,0,3,84,5,2,50,2,1,92,80,43,11
2017-09-19,14,61,0,3,84,5,2,50,2,1,92,80,43,11
2017-09-20,14,61,0,3,84,5,2,50,2,1,92,80,43,11
2017-09-21,14,61,0,3,84,5,2,50,2,1,92,80,43,11
2017-09-22,14,61,0,3,84,5,2,50,2,1,92,80,43,11
2017-09-23,14,61,0,3,84,5,2,50,2,1,92,80,43,11
2017-09-24,14,61,0,3,84,5,2,50,2,1,92,80,43,11
2017-09-25,14,61,0,3,84,5,2,50,2,1,92,80,43,11
2017-09-26,14,61,0,3,84,5,2,50,2,1,92,80,43,11
2017-09-27,14,61,0,3,84,5,2,50,2,1,92,80,43,11
2017-09-28,14,61,0,3,84,5,2,50,2,1,92,80,43,11
2017-09-29,14,61,0,3,84,5,2,50,2,1,92,80,43,11
